date,ticket_type,severity,status,description,reported_by
2022-10-29,Password Reset,Medium,In Progress,Software Install reported by user.,it_support
2023-09-04,Email Problem,Critical,Open,Software Install reported by user.,it_support
2023-02-18,Software Install,Low,Closed,Software Install reported by user.,security_team
2023-06-07,System Outage,Medium,In Progress,Password Reset reported by user.,employee01
2023-08-04,System Outage,High,Open,Email Problem reported by user.,security_team
2022-05-10,Email Problem,Medium,In Progress,VPN Access reported by user.,system
2023-10-20,Hardware Failure,High,Closed,System Outage reported by user.,employee01
2022-07-20,Hardware Failure,Critical,Open,Hardware Failure reported by user.,system
2024-05-29,VPN Access,High,Closed,Hardware Failure reported by user.,employee02
2023-03-29,Security Alert,Low,In Progress,Email Problem reported by user.,security_team
2022-01-04,Email Problem,Critical,Closed,Security Alert reported by user.,employee01
2022-06-13,System Outage,Low,Closed,Network Issue reported by user.,security_team
2024-03-29,Password Reset,Medium,Resolved,System Outage reported by user.,employee01
2022-04-27,Software Install,Low,In Progress,Software Install reported by user.,system
2023-04-14,Network Issue,Critical,Closed,Password Reset reported by user.,employee01
2022-11-25,VPN Access,Low,Resolved,Hardware Failure reported by user.,system
2023-04-23,Software Install,Medium,Closed,System Outage reported by user.,it_support
2023-12-11,Hardware Failure,Critical,In Progress,System Outage reported by user.,employee02
2023-01-24,Hardware Failure,Critical,Closed,Software Install reported by user.,admin
2024-01-14,Network Issue,Medium,Closed,Security Alert reported by user.,employee02
2023-02-27,Email Problem,High,Open,Security Alert reported by user.,employee02
2023-05-30,Software Install,Critical,Open,VPN Access reported by user.,employee02
2022-06-22,Email Problem,High,Resolved,Hardware Failure reported by user.,employee01
2022-12-19,Hardware Failure,Critical,Resolved,Hardware Failure reported by user.,employee01
2022-04-05,System Outage,High,Resolved,System Outage reported by user.,employee01
2022-02-20,System Outage,Low,Closed,Hardware Failure reported by user.,employee01
2024-05-14,Email Problem,Medium,In Progress,Hardware Failure reported by user.,it_support
2023-06-22,Security Alert,High,Open,Password Reset reported by user.,employee01
2023-09-11,Password Reset,High,Resolved,VPN Access reported by user.,admin
2022-12-13,Email Problem,Low,In Progress,Security Alert reported by user.,security_team
2024-04-23,System Outage,Low,Resolved,Hardware Failure reported by user.,employee01
2023-05-31,VPN Access,High,Closed,System Outage reported by user.,admin
2023-08-17,System Outage,Medium,Resolved,Software Install reported by user.,employee02
2022-07-03,System Outage,Medium,Closed,System Outage reported by user.,admin
2023-04-11,Software Install,Medium,In Progress,Email Problem reported by user.,admin
2024-05-24,Software Install,Critical,Open,Security Alert reported by user.,admin
2023-03-05,Software Install,High,Resolved,Security Alert reported by user.,employee02
2022-12-11,Email Problem,Low,Closed,VPN Access reported by user.,employee01
2023-12-25,Software Install,High,In Progress,Password Reset reported by user.,it_support
2024-02-28,Hardware Failure,Medium,Closed,Hardware Failure reported by user.,admin
2022-02-05,System Outage,High,Open,Email Problem reported by user.,employee01
2023-05-12,Hardware Failure,High,Closed,Password Reset reported by user.,employee02
2023-08-31,Password Reset,Critical,Open,Security Alert reported by user.,employee01
2024-02-24,Network Issue,Medium,Closed,Security Alert reported by user.,admin
2022-05-05,Network Issue,Critical,Closed,Software Install reported by user.,employee01
2022-07-08,Security Alert,Medium,In Progress,VPN Access reported by user.,system
2022-12-17,Security Alert,Medium,Open,Password Reset reported by user.,it_support
2023-04-14,Network Issue,High,In Progress,VPN Access reported by user.,it_support
2022-10-02,Security Alert,Critical,In Progress,Password Reset reported by user.,security_team
2022-10-01,System Outage,Medium,Open,System Outage reported by user.,employee01
2022-01-10,Password Reset,High,Resolved,Security Alert reported by user.,employee01
2023-05-22,Network Issue,Critical,In Progress,Password Reset reported by user.,employee02
2024-01-06,Password Reset,Medium,Open,Security Alert reported by user.,admin
2023-07-02,Password Reset,Medium,In Progress,VPN Access reported by user.,it_support
2023-04-17,System Outage,High,Closed,Email Problem reported by user.,admin
2023-10-06,Network Issue,Medium,In Progress,Hardware Failure reported by user.,system
2023-08-08,Email Problem,Low,Closed,Email Problem reported by user.,it_support
2022-10-02,Hardware Failure,Low,Closed,Network Issue reported by user.,employee01
2022-12-05,Email Problem,High,Closed,Hardware Failure reported by user.,system
2023-12-02,Hardware Failure,High,Resolved,Hardware Failure reported by user.,it_support
2024-04-03,Hardware Failure,Critical,Resolved,Security Alert reported by user.,admin
2022-01-08,Security Alert,Medium,Open,Software Install reported by user.,it_support
2024-02-04,System Outage,High,In Progress,Network Issue reported by user.,admin
2023-10-21,System Outage,Critical,Resolved,Password Reset reported by user.,employee02
2023-09-30,Software Install,High,Resolved,Hardware Failure reported by user.,employee02
2023-02-22,Security Alert,Medium,Resolved,System Outage reported by user.,it_support
2022-08-05,Password Reset,High,In Progress,Software Install reported by user.,employee01
2023-01-15,Email Problem,High,Closed,Network Issue reported by user.,system
2023-02-09,Email Problem,Low,In Progress,System Outage reported by user.,employee02
2024-01-11,Email Problem,Low,In Progress,Security Alert reported by user.,system
2022-03-07,Email Problem,Medium,Open,Email Problem reported by user.,admin
2023-08-21,VPN Access,High,Closed,Hardware Failure reported by user.,security_team
2022-08-17,System Outage,Critical,Open,VPN Access reported by user.,it_support
2024-04-23,Network Issue,High,Open,System Outage reported by user.,employee02
2022-02-21,Network Issue,Medium,Resolved,Network Issue reported by user.,security_team
2023-03-01,Software Install,Critical,In Progress,Email Problem reported by user.,admin
2022-12-23,Security Alert,Low,Resolved,VPN Access reported by user.,admin
2024-05-20,Software Install,Low,Closed,Security Alert reported by user.,admin
2023-01-26,Hardware Failure,Critical,In Progress,Email Problem reported by user.,it_support
2023-09-19,Hardware Failure,High,Resolved,Software Install reported by user.,security_team
2023-10-20,Password Reset,Medium,Closed,Hardware Failure reported by user.,system
2022-06-03,Hardware Failure,Critical,Resolved,Software Install reported by user.,admin
2022-11-03,Password Reset,Medium,Resolved,Software Install reported by user.,security_team
2022-09-29,Password Reset,Low,In Progress,Network Issue reported by user.,security_team
2023-06-18,Network Issue,High,Closed,VPN Access reported by user.,employee01
2024-06-16,Software Install,Low,Resolved,Email Problem reported by user.,employee02
2023-06-23,System Outage,Low,Resolved,Password Reset reported by user.,it_support
2023-05-11,VPN Access,Low,Open,VPN Access reported by user.,it_support
2022-04-18,VPN Access,High,Closed,Password Reset reported by user.,system
2022-08-17,VPN Access,Critical,Open,VPN Access reported by user.,security_team
2023-11-01,Password Reset,Critical,Open,VPN Access reported by user.,employee02
2024-02-07,VPN Access,Low,Closed,Software Install reported by user.,admin
2023-11-27,System Outage,Critical,In Progress,Network Issue reported by user.,employee01
2022-02-13,Password Reset,Medium,Resolved,Email Problem reported by user.,employee01
2024-03-29,Hardware Failure,High,Closed,Software Install reported by user.,employee01
2023-01-25,Security Alert,Low,Resolved,Network Issue reported by user.,admin
2022-09-02,VPN Access,Critical,In Progress,VPN Access reported by user.,employee02
2022-05-11,Hardware Failure,Medium,Closed,Password Reset reported by user.,admin
2023-10-14,Email Problem,Low,Resolved,Email Problem reported by user.,system
2022-01-07,System Outage,Low,Open,VPN Access reported by user.,system
2022-12-18,Password Reset,High,Open,Email Problem reported by user.,employee02
2023-08-31,Email Problem,Low,Resolved,Password Reset reported by user.,security_team
2022-09-08,Password Reset,Critical,In Progress,Software Install reported by user.,admin
2023-01-23,VPN Access,Low,Closed,System Outage reported by user.,employee01
2022-11-24,VPN Access,Medium,Closed,Hardware Failure reported by user.,admin
2023-06-07,VPN Access,High,Resolved,Security Alert reported by user.,admin
2022-05-22,Software Install,Medium,In Progress,VPN Access reported by user.,system
2024-04-04,Email Problem,Critical,In Progress,VPN Access reported by user.,system
2024-01-10,VPN Access,Low,Closed,Network Issue reported by user.,admin
2022-09-01,Network Issue,Low,Resolved,Network Issue reported by user.,system
2023-12-26,Hardware Failure,Low,Open,Software Install reported by user.,employee01
2022-03-21,Software Install,Medium,Closed,Password Reset reported by user.,it_support
2023-05-20,Software Install,Low,In Progress,VPN Access reported by user.,admin
2023-03-20,Network Issue,Medium,In Progress,Security Alert reported by user.,employee02
2023-02-22,Software Install,Medium,Open,Hardware Failure reported by user.,employee02
2023-12-22,Hardware Failure,High,Closed,Network Issue reported by user.,it_support
2022-09-10,Hardware Failure,Medium,Open,VPN Access reported by user.,it_support
2023-09-07,Security Alert,Critical,In Progress,Email Problem reported by user.,admin
2023-04-24,System Outage,High,In Progress,Software Install reported by user.,employee01
2023-07-25,VPN Access,Critical,In Progress,Email Problem reported by user.,system
2023-07-13,VPN Access,High,Closed,System Outage reported by user.,admin
2024-03-20,Network Issue,Medium,Closed,Network Issue reported by user.,system
2024-06-16,Security Alert,High,Closed,Hardware Failure reported by user.,admin
2022-05-25,Password Reset,Medium,Closed,Email Problem reported by user.,security_team
2022-06-02,Network Issue,Medium,Resolved,Network Issue reported by user.,system
2023-11-16,Password Reset,Medium,Resolved,VPN Access reported by user.,employee02
2024-05-20,Network Issue,High,Closed,Hardware Failure reported by user.,employee02
2024-02-05,Hardware Failure,Medium,Open,Password Reset reported by user.,security_team
2023-12-12,System Outage,Medium,Open,Security Alert reported by user.,admin
2023-03-02,Security Alert,Medium,Open,Hardware Failure reported by user.,security_team
2024-04-30,Password Reset,Critical,In Progress,Security Alert reported by user.,security_team
2022-08-04,Password Reset,Critical,In Progress,Password Reset reported by user.,security_team
2023-07-03,Email Problem,Medium,Open,System Outage reported by user.,it_support
2023-02-24,Hardware Failure,Critical,Resolved,VPN Access reported by user.,employee01
2023-08-29,Network Issue,High,Closed,Security Alert reported by user.,employee02
2023-11-05,Security Alert,Critical,Closed,System Outage reported by user.,admin
2024-03-31,VPN Access,Critical,Closed,VPN Access reported by user.,admin
2022-03-06,Security Alert,Medium,Open,Password Reset reported by user.,system
2024-03-30,VPN Access,Critical,In Progress,Security Alert reported by user.,admin
2022-06-08,Email Problem,Low,Resolved,VPN Access reported by user.,admin
2022-02-25,Password Reset,Critical,Closed,Hardware Failure reported by user.,admin
2023-10-31,System Outage,High,In Progress,System Outage reported by user.,admin
2023-08-24,Software Install,Low,In Progress,Network Issue reported by user.,it_support
2023-07-29,Software Install,Low,Resolved,Security Alert reported by user.,employee02
2023-02-08,VPN Access,Medium,Resolved,VPN Access reported by user.,security_team
2023-07-29,System Outage,High,In Progress,Email Problem reported by user.,security_team
2022-04-06,System Outage,Critical,Open,Email Problem reported by user.,it_support
2023-11-28,System Outage,Low,Open,Network Issue reported by user.,employee02
2022-05-22,System Outage,Critical,Closed,VPN Access reported by user.,admin
2022-04-04,Email Problem,Critical,Closed,Hardware Failure reported by user.,security_team
2023-06-22,Email Problem,High,Resolved,Network Issue reported by user.,security_team
2022-02-26,Network Issue,Low,Closed,VPN Access reported by user.,it_support
2022-07-04,VPN Access,Medium,In Progress,Hardware Failure reported by user.,system
2024-06-05,Hardware Failure,High,Resolved,Security Alert reported by user.,system
2023-11-11,Hardware Failure,Low,In Progress,Security Alert reported by user.,employee01
2022-05-13,Network Issue,Critical,In Progress,Email Problem reported by user.,admin
2023-02-16,VPN Access,Medium,Open,Software Install reported by user.,employee02
2023-09-13,VPN Access,Critical,Open,Network Issue reported by user.,employee01
2023-06-17,Hardware Failure,Critical,Resolved,Email Problem reported by user.,employee02
2024-01-29,Hardware Failure,Critical,In Progress,System Outage reported by user.,employee01
2022-03-08,Software Install,Low,Resolved,System Outage reported by user.,employee02
2024-03-16,VPN Access,Critical,Closed,Email Problem reported by user.,system
2024-05-14,System Outage,Medium,Closed,Email Problem reported by user.,it_support
2022-02-27,Password Reset,High,Resolved,System Outage reported by user.,employee02
2022-09-09,Hardware Failure,Critical,Closed,Network Issue reported by user.,employee01
2023-07-25,Hardware Failure,Low,Closed,Password Reset reported by user.,security_team
2023-02-17,VPN Access,Critical,Open,Email Problem reported by user.,security_team
2023-06-11,Network Issue,Low,Closed,VPN Access reported by user.,employee01
2023-11-22,Network Issue,High,Resolved,Password Reset reported by user.,security_team
2022-04-25,Email Problem,Medium,In Progress,Hardware Failure reported by user.,security_team
2024-02-21,Password Reset,Medium,Open,Network Issue reported by user.,employee01
2024-02-09,Network Issue,Low,Open,Security Alert reported by user.,admin
2023-01-28,System Outage,High,Resolved,VPN Access reported by user.,admin
2024-05-17,VPN Access,Medium,Open,System Outage reported by user.,it_support
2022-03-12,Email Problem,Medium,In Progress,Network Issue reported by user.,security_team
2023-12-01,Network Issue,Medium,Open,Security Alert reported by user.,system
2023-08-12,Email Problem,Low,Open,Password Reset reported by user.,it_support
2022-05-22,Network Issue,Critical,Resolved,VPN Access reported by user.,admin
2022-11-04,Hardware Failure,High,Resolved,Network Issue reported by user.,it_support
2022-11-25,System Outage,Medium,In Progress,System Outage reported by user.,it_support
2022-03-17,Hardware Failure,Critical,Open,Email Problem reported by user.,employee02
2023-07-15,Email Problem,Medium,Open,VPN Access reported by user.,system
2022-10-29,Network Issue,Medium,Open,VPN Access reported by user.,employee01
2022-11-06,Software Install,Critical,In Progress,System Outage reported by user.,admin
2022-08-17,Hardware Failure,Low,Closed,VPN Access reported by user.,employee02
2022-01-03,Hardware Failure,Critical,Resolved,Software Install reported by user.,admin
2022-09-15,VPN Access,Low,In Progress,Password Reset reported by user.,it_support
2022-10-11,Software Install,High,Resolved,Hardware Failure reported by user.,admin
2022-05-03,Software Install,High,Closed,Network Issue reported by user.,it_support
2024-05-09,Email Problem,High,Resolved,System Outage reported by user.,security_team
2022-10-20,VPN Access,Medium,Resolved,VPN Access reported by user.,system
2023-04-15,Security Alert,Critical,Open,Security Alert reported by user.,employee01
2023-11-04,System Outage,Critical,In Progress,Software Install reported by user.,it_support
2023-09-19,Password Reset,Low,Resolved,Security Alert reported by user.,employee02
2023-05-02,Password Reset,Critical,Open,Security Alert reported by user.,system
2024-06-19,Password Reset,Medium,Resolved,System Outage reported by user.,employee01
2023-06-17,VPN Access,Medium,Closed,Hardware Failure reported by user.,employee01
2022-03-26,Hardware Failure,High,In Progress,VPN Access reported by user.,employee02
2023-06-08,System Outage,Low,In Progress,Security Alert reported by user.,it_support
2022-06-25,System Outage,High,Closed,Password Reset reported by user.,it_support
2023-07-30,Software Install,Critical,Closed,Security Alert reported by user.,employee01
2023-06-04,System Outage,High,Open,Password Reset reported by user.,it_support
2024-02-14,Email Problem,High,In Progress,VPN Access reported by user.,security_team
2024-03-05,Hardware Failure,High,Closed,System Outage reported by user.,security_team
2024-02-21,Email Problem,Critical,Resolved,Email Problem reported by user.,it_support
2022-12-28,Software Install,Medium,Open,System Outage reported by user.,admin
2022-02-09,VPN Access,High,Open,Password Reset reported by user.,it_support
2023-02-19,Password Reset,Medium,Open,Hardware Failure reported by user.,admin
2023-10-22,Security Alert,Low,Open,Security Alert reported by user.,system
2022-06-17,System Outage,Critical,Open,Password Reset reported by user.,security_team
2023-07-29,VPN Access,Critical,In Progress,System Outage reported by user.,admin
2024-05-20,VPN Access,High,In Progress,Email Problem reported by user.,security_team
2023-08-08,VPN Access,Low,In Progress,Hardware Failure reported by user.,admin
2022-10-03,Hardware Failure,Low,In Progress,Security Alert reported by user.,employee02
2022-05-22,Network Issue,High,Resolved,Password Reset reported by user.,security_team
2023-08-01,Hardware Failure,Medium,In Progress,System Outage reported by user.,it_support
2024-02-24,Password Reset,Critical,In Progress,System Outage reported by user.,employee01
2023-10-20,Hardware Failure,Critical,In Progress,Network Issue reported by user.,employee02
2022-04-21,System Outage,Critical,Closed,System Outage reported by user.,admin
2024-01-21,Software Install,High,In Progress,Software Install reported by user.,employee01
2024-04-22,VPN Access,Low,Open,Security Alert reported by user.,employee01
2023-08-04,Software Install,Low,Open,Hardware Failure reported by user.,security_team
2022-10-26,Network Issue,Low,Open,System Outage reported by user.,employee01
2023-07-14,Hardware Failure,Low,In Progress,Email Problem reported by user.,employee02
2023-12-31,Network Issue,High,Closed,Software Install reported by user.,employee02
2023-02-23,System Outage,High,Closed,Security Alert reported by user.,employee02
2022-06-26,Password Reset,High,Resolved,Security Alert reported by user.,security_team
2023-07-11,Password Reset,Medium,Closed,Hardware Failure reported by user.,system
2022-09-04,Email Problem,Critical,Resolved,Password Reset reported by user.,employee02
2022-04-29,VPN Access,Medium,Resolved,System Outage reported by user.,security_team
2023-02-04,VPN Access,Medium,Open,Hardware Failure reported by user.,security_team
2022-12-04,Email Problem,Medium,In Progress,Software Install reported by user.,system
2022-12-16,Hardware Failure,Low,In Progress,Security Alert reported by user.,security_team
2022-11-23,Network Issue,Low,Resolved,System Outage reported by user.,system
2022-05-10,Network Issue,Medium,Closed,Hardware Failure reported by user.,it_support
2023-02-23,Hardware Failure,High,Open,Network Issue reported by user.,system
2022-04-14,Email Problem,Low,Closed,System Outage reported by user.,it_support
2024-01-18,Email Problem,High,Open,System Outage reported by user.,admin
2023-02-15,VPN Access,Critical,In Progress,Hardware Failure reported by user.,admin
2022-03-16,Password Reset,Medium,Resolved,Email Problem reported by user.,employee01
2024-04-25,Password Reset,High,Closed,Software Install reported by user.,employee01
2022-09-22,Software Install,High,Resolved,Network Issue reported by user.,it_support
2022-01-07,Password Reset,Low,Open,Password Reset reported by user.,admin
2022-08-23,Network Issue,Medium,Open,System Outage reported by user.,it_support
2023-05-31,Security Alert,Critical,Resolved,Email Problem reported by user.,it_support
2023-05-12,System Outage,Medium,Open,Email Problem reported by user.,employee02
2024-01-31,VPN Access,Medium,Resolved,Hardware Failure reported by user.,security_team
2022-06-28,Software Install,Critical,Closed,Password Reset reported by user.,system
2022-12-08,Password Reset,High,In Progress,System Outage reported by user.,employee02
2022-06-16,Security Alert,Medium,Closed,Email Problem reported by user.,employee02
2024-02-28,Email Problem,Low,Open,Security Alert reported by user.,employee02
2024-06-16,Network Issue,High,Closed,Password Reset reported by user.,admin
2024-03-11,VPN Access,Medium,In Progress,Software Install reported by user.,employee01
2024-05-17,System Outage,High,In Progress,Email Problem reported by user.,employee01
2022-12-08,Password Reset,Medium,Resolved,Password Reset reported by user.,admin
2023-05-03,System Outage,Low,In Progress,Software Install reported by user.,admin
2023-05-06,Software Install,High,Resolved,Network Issue reported by user.,admin
2022-12-29,Network Issue,Medium,Resolved,Network Issue reported by user.,admin
2024-02-12,System Outage,Medium,In Progress,Email Problem reported by user.,employee01
2023-12-14,Email Problem,High,Closed,Email Problem reported by user.,security_team
2022-12-06,Password Reset,Low,Open,Security Alert reported by user.,security_team
2023-04-04,System Outage,High,In Progress,Network Issue reported by user.,it_support
2023-08-27,Password Reset,Medium,Resolved,Security Alert reported by user.,it_support
2022-01-26,Security Alert,Low,Open,Security Alert reported by user.,system
2024-05-31,Network Issue,Medium,Open,Software Install reported by user.,security_team
2023-03-17,Security Alert,Low,Open,Email Problem reported by user.,admin
2024-01-03,Email Problem,Low,Closed,Email Problem reported by user.,system
2023-02-20,Password Reset,Medium,Open,Network Issue reported by user.,employee01
2023-01-16,Security Alert,High,Resolved,Software Install reported by user.,system
2022-09-17,System Outage,Critical,In Progress,Software Install reported by user.,security_team
2023-10-27,Password Reset,Low,Resolved,Network Issue reported by user.,security_team
2023-03-15,Security Alert,High,Resolved,Hardware Failure reported by user.,employee02
2022-03-23,Password Reset,Low,Open,System Outage reported by user.,employee01
2023-01-10,Network Issue,Medium,Open,Password Reset reported by user.,employee01
2023-07-10,Network Issue,Medium,In Progress,Security Alert reported by user.,system
2023-09-04,Network Issue,High,In Progress,Email Problem reported by user.,admin
2022-07-13,Network Issue,Medium,In Progress,Hardware Failure reported by user.,admin
2023-11-12,Software Install,Low,Open,Email Problem reported by user.,employee02
2022-10-10,Network Issue,High,In Progress,Password Reset reported by user.,it_support
2024-05-30,Hardware Failure,Critical,Resolved,System Outage reported by user.,it_support
2024-05-18,Hardware Failure,High,Open,Hardware Failure reported by user.,system
2022-06-01,Hardware Failure,Low,Resolved,Security Alert reported by user.,it_support
2022-09-06,System Outage,High,In Progress,System Outage reported by user.,admin
2023-09-14,Network Issue,Medium,In Progress,Hardware Failure reported by user.,employee01
2024-03-30,Hardware Failure,Low,Closed,Network Issue reported by user.,it_support
2024-05-23,Network Issue,Low,In Progress,System Outage reported by user.,employee02
2023-09-24,Security Alert,High,Closed,System Outage reported by user.,security_team
2022-07-20,Network Issue,Critical,In Progress,Security Alert reported by user.,employee01
2023-05-19,VPN Access,Medium,Open,System Outage reported by user.,admin
2023-04-20,System Outage,Medium,Open,Password Reset reported by user.,employee02
2022-02-27,Network Issue,Critical,Closed,Email Problem reported by user.,admin
2023-05-28,Security Alert,Medium,Open,System Outage reported by user.,employee02
2023-01-06,Software Install,Medium,Resolved,Hardware Failure reported by user.,employee01
2023-11-12,Security Alert,Critical,Open,System Outage reported by user.,admin
2022-08-08,Hardware Failure,High,Resolved,VPN Access reported by user.,system
2023-12-04,System Outage,Critical,In Progress,System Outage reported by user.,security_team
2022-02-03,Security Alert,Medium,In Progress,System Outage reported by user.,admin
2024-04-14,Network Issue,High,Closed,Hardware Failure reported by user.,it_support
2022-10-26,Email Problem,Critical,Resolved,Email Problem reported by user.,employee02
2022-02-24,System Outage,Critical,Closed,Software Install reported by user.,security_team
2023-10-12,Password Reset,Medium,Closed,Hardware Failure reported by user.,employee01
2024-05-31,Password Reset,Medium,Open,System Outage reported by user.,admin
2022-06-07,System Outage,Low,Resolved,Network Issue reported by user.,employee01
2023-10-22,VPN Access,Critical,In Progress,VPN Access reported by user.,employee01
2023-01-22,Security Alert,Low,Closed,System Outage reported by user.,it_support
2024-01-04,Software Install,Low,Resolved,VPN Access reported by user.,system
2022-11-10,Hardware Failure,Medium,Closed,System Outage reported by user.,security_team
2023-03-07,Email Problem,Critical,Closed,Email Problem reported by user.,it_support
2023-04-14,Network Issue,Critical,Open,VPN Access reported by user.,employee02
2022-01-06,Network Issue,Medium,Open,Email Problem reported by user.,employee02
2022-10-19,Password Reset,High,In Progress,Password Reset reported by user.,employee01
2022-05-31,Hardware Failure,Low,In Progress,System Outage reported by user.,system
2023-01-29,Security Alert,Medium,Open,Hardware Failure reported by user.,employee02
2023-02-12,Security Alert,Critical,Closed,VPN Access reported by user.,employee02
2023-04-01,Security Alert,Critical,Open,System Outage reported by user.,admin
2022-01-10,VPN Access,High,Open,Software Install reported by user.,admin
2023-06-03,VPN Access,High,Resolved,Email Problem reported by user.,employee01
2024-04-08,Security Alert,Medium,Resolved,Email Problem reported by user.,admin
2023-11-11,Network Issue,Medium,Open,Password Reset reported by user.,admin
2023-07-18,Software Install,Critical,Open,Email Problem reported by user.,system
2022-05-19,Hardware Failure,Critical,Resolved,VPN Access reported by user.,security_team
2023-01-10,System Outage,Critical,Open,Software Install reported by user.,employee02
2024-01-24,Security Alert,High,Open,VPN Access reported by user.,it_support
2024-05-20,VPN Access,High,Closed,VPN Access reported by user.,employee01
2024-01-28,System Outage,Medium,Open,Password Reset reported by user.,employee01
2022-03-26,VPN Access,Critical,Closed,VPN Access reported by user.,admin
2022-07-23,Security Alert,Critical,Open,VPN Access reported by user.,admin
2023-02-19,VPN Access,Medium,In Progress,System Outage reported by user.,system
2023-04-09,Network Issue,Low,Closed,VPN Access reported by user.,employee02
2023-04-19,VPN Access,High,Resolved,Network Issue reported by user.,it_support
2022-03-28,Password Reset,High,Resolved,Email Problem reported by user.,it_support
2022-08-25,Email Problem,Critical,In Progress,System Outage reported by user.,system
2022-09-15,Password Reset,Critical,Closed,Network Issue reported by user.,employee01
2022-12-15,System Outage,Medium,Closed,VPN Access reported by user.,employee02
