date,ticket_type,severity,status,description,reported_by
2022-01-03,System Outage,Critical,Open,System Outage reported by user.,employee02
2023-09-30,Email Problem,Critical,Closed,Email Problem reported by user.,employee02
2022-03-17,Password Reset,High,In Progress,Password Reset reported by user.,employee01
2022-04-06,Password Reset,Critical,Resolved,VPN Access reported by user.,security_team
2023-02-14,System Outage,High,Closed,Security Alert reported by user.,system
2024-06-05,Security Alert,Low,In Progress,Password Reset reported by user.,employee02
2022-11-18,Network Issue,High,Closed,Hardware Failure reported by user.,it_support
2023-03-10,VPN Access,Low,Open,Software Install reported by user.,employee02
2022-02-04,Hardware Failure,Medium,Closed,Password Reset reported by user.,admin
2024-06-14,Hardware Failure,Low,Resolved,Hardware Failure reported by user.,system
2023-10-01,Software Install,High,Resolved,Security Alert reported by user.,system
2023-08-12,Security Alert,Critical,In Progress,Software Install reported by user.,employee01
2022-09-12,VPN Access,High,Open,Software Install reported by user.,employee01
2022-08-24,VPN Access,Critical,In Progress,Password Reset reported by user.,it_support
2023-01-13,Software Install,High,Open,Password Reset reported by user.,employee02
2022-12-05,Security Alert,High,In Progress,System Outage reported by user.,it_support
2022-10-08,Software Install,High,Closed,VPN Access reported by user.,employee02
2024-04-24,Network Issue,Low,In Progress,Network Issue reported by user.,employee01
2023-02-19,Hardware Failure,Critical,Closed,Network Issue reported by user.,employee02
2024-03-28,Software Install,High,Open,Network Issue reported by user.,system
2022-03-20,System Outage,Critical,In Progress,VPN Access reported by user.,employee01
2023-08-24,Security Alert,High,In Progress,Software Install reported by user.,employee01
2024-04-29,Hardware Failure,Critical,In Progress,Security Alert reported by user.,security_team
2023-02-14,VPN Access,Medium,Resolved,Network Issue reported by user.,employee01
2023-09-15,Network Issue,High,Closed,Security Alert reported by user.,it_support
2023-02-07,Software Install,Low,In Progress,Security Alert reported by user.,employee02
2024-06-01,VPN Access,Medium,Closed,Hardware Failure reported by user.,it_support
2023-11-09,System Outage,Critical,Resolved,Email Problem reported by user.,employee01
2023-11-21,Software Install,Critical,Closed,Password Reset reported by user.,system
2022-09-06,Network Issue,High,Open,System Outage reported by user.,security_team
2023-01-21,Network Issue,High,Open,Password Reset reported by user.,it_support
2022-02-26,Email Problem,High,Open,System Outage reported by user.,it_support
2023-09-03,Password Reset,Critical,Closed,Security Alert reported by user.,employee02
2024-02-22,Network Issue,Low,Closed,Security Alert reported by user.,it_support
2022-10-30,Network Issue,High,Closed,Software Install reported by user.,employee01
2024-02-28,Email Problem,Low,Closed,Security Alert reported by user.,it_support
2023-11-16,Email Problem,Low,Resolved,Network Issue reported by user.,security_team
2022-05-07,Software Install,Medium,In Progress,Software Install reported by user.,system
2023-10-11,System Outage,Critical,Open,Security Alert reported by user.,security_team
2022-04-22,System Outage,Critical,In Progress,Email Problem reported by user.,system
2023-05-28,System Outage,Medium,Closed,System Outage reported by user.,security_team
2022-05-01,Security Alert,Critical,In Progress,Email Problem reported by user.,security_team
2022-03-29,VPN Access,High,In Progress,Network Issue reported by user.,admin
2023-07-25,Email Problem,Low,In Progress,Hardware Failure reported by user.,it_support
2023-08-11,Software Install,Medium,In Progress,System Outage reported by user.,security_team
2022-03-21,System Outage,Low,Closed,Hardware Failure reported by user.,security_team
2023-01-11,Email Problem,High,In Progress,Software Install reported by user.,employee02
2023-08-29,Network Issue,High,Resolved,Email Problem reported by user.,employee02
2023-01-22,Security Alert,Low,Closed,VPN Access reported by user.,employee02
2023-08-09,Hardware Failure,Low,Open,System Outage reported by user.,system
2024-04-10,Hardware Failure,Low,Open,Password Reset reported by user.,it_support
2022-01-23,Security Alert,High,Closed,Email Problem reported by user.,employee02
2022-05-19,Software Install,Medium,Open,VPN Access reported by user.,admin
2023-01-14,Email Problem,Critical,In Progress,VPN Access reported by user.,system
2023-04-20,VPN Access,Critical,In Progress,Network Issue reported by user.,employee02
2023-12-18,Hardware Failure,Medium,Resolved,VPN Access reported by user.,employee02
2024-05-10,Security Alert,High,Resolved,System Outage reported by user.,security_team
2022-05-11,System Outage,Critical,Open,Security Alert reported by user.,employee02
2023-05-03,VPN Access,Critical,In Progress,Hardware Failure reported by user.,employee01
2023-10-05,VPN Access,Low,Open,Security Alert reported by user.,system
2024-04-15,Security Alert,Critical,Open,System Outage reported by user.,employee02
2023-10-18,Security Alert,Critical,Open,System Outage reported by user.,it_support
2023-01-12,VPN Access,Critical,Open,Email Problem reported by user.,security_team
2022-07-25,System Outage,High,Resolved,Email Problem reported by user.,system
2023-12-02,VPN Access,Low,Resolved,Email Problem reported by user.,admin
2022-06-15,Hardware Failure,Critical,Closed,Hardware Failure reported by user.,employee02
2022-07-02,Password Reset,Critical,Resolved,Hardware Failure reported by user.,system
2023-07-09,Hardware Failure,Medium,Closed,Hardware Failure reported by user.,admin
2023-08-24,VPN Access,Medium,Resolved,Security Alert reported by user.,employee02
2024-05-11,Network Issue,Medium,Resolved,Network Issue reported by user.,employee02
2022-11-29,Password Reset,High,Closed,Password Reset reported by user.,system
2023-01-25,System Outage,Low,Closed,Network Issue reported by user.,employee02
2024-02-22,System Outage,Medium,Open,System Outage reported by user.,it_support
2024-03-28,Security Alert,High,In Progress,Password Reset reported by user.,security_team
2022-09-11,Email Problem,Low,Closed,Email Problem reported by user.,security_team
2024-06-16,Software Install,Medium,Closed,Hardware Failure reported by user.,system
2022-06-05,VPN Access,Medium,Open,Security Alert reported by user.,employee01
2022-06-07,Hardware Failure,High,Open,Network Issue reported by user.,security_team
2022-04-04,Hardware Failure,Critical,Open,Password Reset reported by user.,it_support
2024-01-15,Security Alert,Low,Open,Hardware Failure reported by user.,system
2022-11-28,Security Alert,Medium,Closed,Security Alert reported by user.,security_team
2023-10-27,Security Alert,Critical,Closed,Software Install reported by user.,it_support
2024-01-12,System Outage,Medium,Open,Email Problem reported by user.,system
2023-01-12,Security Alert,Low,Open,Software Install reported by user.,it_support
2024-04-18,System Outage,Critical,Open,VPN Access reported by user.,employee02
2023-09-15,Password Reset,Low,Open,VPN Access reported by user.,employee01
2023-12-15,System Outage,Critical,Closed,Password Reset reported by user.,admin
2022-06-02,Security Alert,High,Closed,VPN Access reported by user.,employee01
2024-03-06,Security Alert,Medium,In Progress,VPN Access reported by user.,system
2022-05-27,Network Issue,Critical,Open,Security Alert reported by user.,admin
2023-02-16,System Outage,Critical,Open,Network Issue reported by user.,it_support
2022-05-15,Email Problem,Medium,In Progress,Email Problem reported by user.,it_support
2022-04-19,Password Reset,Critical,Resolved,Hardware Failure reported by user.,system
2023-03-20,VPN Access,Medium,Resolved,Network Issue reported by user.,employee02
2022-07-20,System Outage,Critical,Resolved,Network Issue reported by user.,system
2022-02-14,Network Issue,Medium,Open,System Outage reported by user.,it_support
2022-08-16,Network Issue,Critical,Open,Network Issue reported by user.,employee01
2023-01-26,System Outage,Low,Closed,Password Reset reported by user.,it_support
2023-11-06,Network Issue,Medium,Resolved,VPN Access reported by user.,employee02
2022-11-14,VPN Access,Critical,In Progress,Hardware Failure reported by user.,employee02
2022-05-24,Network Issue,Medium,Open,Software Install reported by user.,system
2022-03-29,Password Reset,High,Resolved,System Outage reported by user.,employee01
2024-03-24,Hardware Failure,Low,Open,System Outage reported by user.,it_support
2023-06-27,Security Alert,Low,Resolved,Password Reset reported by user.,admin
2023-04-23,VPN Access,Medium,Resolved,Network Issue reported by user.,security_team
2023-03-20,Password Reset,Medium,Open,Hardware Failure reported by user.,security_team
2023-01-09,VPN Access,Critical,Closed,Hardware Failure reported by user.,employee02
2024-02-29,Security Alert,Low,Closed,Email Problem reported by user.,it_support
2024-04-20,VPN Access,Critical,Closed,Network Issue reported by user.,security_team
2022-07-11,Password Reset,Critical,Resolved,VPN Access reported by user.,admin
2023-10-10,Network Issue,Low,Resolved,Security Alert reported by user.,admin
2024-02-01,Hardware Failure,Medium,Open,VPN Access reported by user.,employee01
2023-03-25,Password Reset,Medium,In Progress,Password Reset reported by user.,admin
2022-05-14,Software Install,Medium,Closed,Software Install reported by user.,employee01
2022-07-24,Software Install,Low,Resolved,Hardware Failure reported by user.,security_team
2023-06-01,Hardware Failure,Critical,Resolved,Hardware Failure reported by user.,employee01
2023-11-16,Software Install,Low,Open,VPN Access reported by user.,employee01
2024-05-02,Network Issue,Medium,In Progress,Software Install reported by user.,employee01
2022-11-23,VPN Access,Medium,In Progress,Password Reset reported by user.,it_support
2023-12-14,Security Alert,Critical,Closed,Security Alert reported by user.,system
2022-06-22,Hardware Failure,Critical,Closed,Software Install reported by user.,it_support
2023-04-17,System Outage,Medium,Resolved,VPN Access reported by user.,security_team
2022-05-25,Security Alert,Low,Open,Software Install reported by user.,employee01
2022-04-03,Security Alert,Low,Closed,Email Problem reported by user.,it_support
2022-12-10,Network Issue,Critical,In Progress,Software Install reported by user.,system
2023-11-02,Software Install,Medium,Closed,Email Problem reported by user.,admin
2023-10-14,Security Alert,Low,In Progress,System Outage reported by user.,employee02
2024-04-16,Security Alert,Medium,Closed,System Outage reported by user.,employee01
2022-10-27,Security Alert,High,Closed,Email Problem reported by user.,it_support
2023-02-08,Software Install,Low,Resolved,Hardware Failure reported by user.,admin
2022-05-10,Network Issue,Critical,In Progress,VPN Access reported by user.,security_team
2022-06-11,Password Reset,Low,Closed,Hardware Failure reported by user.,employee01
2022-05-06,Software Install,Medium,Resolved,Password Reset reported by user.,employee01
2023-04-07,Software Install,Low,In Progress,System Outage reported by user.,employee02
2023-06-16,VPN Access,Critical,Open,Software Install reported by user.,security_team
2022-04-29,Password Reset,Medium,In Progress,Hardware Failure reported by user.,security_team
2022-10-13,Hardware Failure,High,In Progress,Network Issue reported by user.,security_team
2022-11-29,Email Problem,High,In Progress,Software Install reported by user.,employee02
2023-11-05,Network Issue,High,Closed,Security Alert reported by user.,system
2024-03-20,Password Reset,Medium,Resolved,Network Issue reported by user.,system
2024-01-07,Network Issue,Low,Resolved,Email Problem reported by user.,system
2022-06-06,Hardware Failure,Low,Closed,Password Reset reported by user.,admin
2022-06-16,VPN Access,High,Closed,Hardware Failure reported by user.,security_team
2023-01-07,System Outage,Medium,Resolved,System Outage reported by user.,employee01
2023-02-15,System Outage,Critical,Resolved,Email Problem reported by user.,admin
2023-11-27,Software Install,Critical,Closed,Security Alert reported by user.,employee02
2022-05-20,Software Install,Medium,In Progress,System Outage reported by user.,it_support
2024-04-08,System Outage,High,In Progress,Software Install reported by user.,admin
2022-11-09,Hardware Failure,Critical,Open,VPN Access reported by user.,employee02
2022-01-27,Security Alert,Low,Resolved,Email Problem reported by user.,system
2022-05-31,Email Problem,High,In Progress,Network Issue reported by user.,employee01
2023-02-04,Email Problem,Critical,Closed,VPN Access reported by user.,employee01
2023-04-07,Email Problem,Low,Open,Password Reset reported by user.,employee02
2022-06-07,System Outage,High,Open,Network Issue reported by user.,employee02
2023-06-10,Software Install,Medium,Closed,Security Alert reported by user.,system
2022-06-04,Hardware Failure,Critical,In Progress,Password Reset reported by user.,system
2023-07-03,Password Reset,Critical,Closed,Password Reset reported by user.,security_team
2023-06-10,Hardware Failure,Low,Closed,Password Reset reported by user.,security_team
2023-11-12,System Outage,Low,Open,Password Reset reported by user.,employee01
2023-06-25,Hardware Failure,High,In Progress,Software Install reported by user.,admin
2023-04-05,Password Reset,Medium,In Progress,Network Issue reported by user.,employee01
2023-07-12,Email Problem,High,Resolved,Security Alert reported by user.,admin
2024-06-15,Software Install,High,Open,Password Reset reported by user.,admin
2022-11-28,VPN Access,Low,Closed,Hardware Failure reported by user.,employee02
2022-09-14,VPN Access,Critical,In Progress,Password Reset reported by user.,security_team
2024-02-01,Software Install,Medium,Closed,Hardware Failure reported by user.,system
2022-07-21,System Outage,High,Closed,System Outage reported by user.,system
2022-10-06,Email Problem,Medium,Open,Network Issue reported by user.,system
2022-05-07,VPN Access,Medium,Resolved,VPN Access reported by user.,employee02
2024-03-26,Email Problem,Low,Open,Software Install reported by user.,employee02
2022-10-27,Network Issue,Low,Closed,Password Reset reported by user.,employee02
2023-07-05,Email Problem,Low,Closed,VPN Access reported by user.,employee02
2022-04-04,Network Issue,Critical,Resolved,Software Install reported by user.,employee01
2024-01-19,System Outage,Medium,In Progress,Password Reset reported by user.,employee02
2023-04-02,Software Install,Low,Resolved,Hardware Failure reported by user.,employee01
2022-10-04,Network Issue,High,Open,VPN Access reported by user.,security_team
2023-12-24,Security Alert,High,Closed,Software Install reported by user.,admin
2022-07-13,Password Reset,High,Closed,Security Alert reported by user.,it_support
2022-10-01,Security Alert,Critical,Resolved,Network Issue reported by user.,employee01
2023-03-16,Software Install,Low,Resolved,System Outage reported by user.,security_team
2022-02-06,VPN Access,Medium,Resolved,Email Problem reported by user.,system
2023-09-01,Network Issue,High,Resolved,Password Reset reported by user.,employee02
2023-01-05,Software Install,Medium,Open,VPN Access reported by user.,security_team
2023-10-15,Software Install,High,Closed,Network Issue reported by user.,admin
2023-06-11,Password Reset,Critical,Resolved,Software Install reported by user.,employee02
2022-05-14,System Outage,Medium,Resolved,Password Reset reported by user.,admin
2022-08-08,Software Install,Medium,Resolved,Security Alert reported by user.,system
2022-11-10,Network Issue,Critical,In Progress,Password Reset reported by user.,admin
2023-03-03,Software Install,Low,Open,Hardware Failure reported by user.,security_team
2023-03-12,Email Problem,Medium,Resolved,VPN Access reported by user.,it_support
2023-11-28,System Outage,Critical,Closed,Security Alert reported by user.,security_team
2024-05-10,Hardware Failure,Medium,In Progress,Software Install reported by user.,system
2022-11-15,VPN Access,Medium,Resolved,Software Install reported by user.,system
2023-01-11,System Outage,High,Resolved,Network Issue reported by user.,employee02
2024-01-17,VPN Access,Low,In Progress,Network Issue reported by user.,employee02
2022-07-29,Hardware Failure,High,In Progress,Software Install reported by user.,employee02
2023-12-24,System Outage,Low,Resolved,Hardware Failure reported by user.,admin
2024-04-27,VPN Access,Critical,Closed,System Outage reported by user.,employee02
2023-09-27,System Outage,Medium,Resolved,Hardware Failure reported by user.,employee02
2023-07-24,System Outage,Medium,Open,Hardware Failure reported by user.,security_team
2022-07-14,Software Install,Critical,Closed,Software Install reported by user.,security_team
2022-12-17,Password Reset,Low,Closed,System Outage reported by user.,system
2023-03-06,Software Install,High,Resolved,Software Install reported by user.,employee02
2022-01-16,VPN Access,Low,Closed,Password Reset reported by user.,it_support
2024-01-31,VPN Access,High,In Progress,Email Problem reported by user.,employee02
2024-04-29,Password Reset,Critical,In Progress,Email Problem reported by user.,employee02
2023-05-08,Network Issue,Medium,Open,Hardware Failure reported by user.,employee01
2024-04-21,Hardware Failure,Low,Resolved,Email Problem reported by user.,employee01
2022-02-08,Network Issue,High,Resolved,Network Issue reported by user.,employee02
2023-03-19,Security Alert,Medium,Resolved,Network Issue reported by user.,employee02
2024-01-05,Email Problem,Medium,Resolved,Password Reset reported by user.,employee02
2022-07-17,Hardware Failure,High,Open,Software Install reported by user.,employee01
2022-10-14,Network Issue,High,In Progress,VPN Access reported by user.,employee02
2024-03-22,Software Install,Low,In Progress,Network Issue reported by user.,employee02
2022-09-27,Software Install,Low,Open,Email Problem reported by user.,employee02
2022-09-04,Network Issue,Low,In Progress,Software Install reported by user.,it_support
2023-03-26,Network Issue,Medium,Closed,Network Issue reported by user.,employee02
2023-09-02,Email Problem,Low,Open,Security Alert reported by user.,admin
2022-01-23,Network Issue,High,Closed,Security Alert reported by user.,system
2024-01-16,Security Alert,Low,In Progress,Hardware Failure reported by user.,security_team
2022-03-21,Hardware Failure,Low,Resolved,Hardware Failure reported by user.,system
2022-04-27,VPN Access,Medium,Open,Security Alert reported by user.,security_team
2023-11-12,Hardware Failure,Critical,Closed,Hardware Failure reported by user.,admin
2023-07-30,Password Reset,Medium,Open,Network Issue reported by user.,system
2022-07-29,Email Problem,Low,Open,VPN Access reported by user.,it_support
2024-04-30,Software Install,Low,Open,Software Install reported by user.,admin
2023-04-06,Email Problem,High,In Progress,Network Issue reported by user.,security_team
2023-12-10,Email Problem,High,Resolved,Network Issue reported by user.,system
2024-05-29,System Outage,Medium,Closed,Email Problem reported by user.,admin
2022-08-14,Software Install,High,Open,Software Install reported by user.,employee02
2023-02-24,Password Reset,Low,Resolved,System Outage reported by user.,security_team
2024-05-31,Network Issue,Medium,In Progress,Security Alert reported by user.,system
2022-10-05,VPN Access,High,Resolved,Password Reset reported by user.,system
2024-03-18,Hardware Failure,Low,Resolved,System Outage reported by user.,security_team
2022-07-24,Security Alert,Medium,Resolved,Hardware Failure reported by user.,employee02
2023-12-15,Hardware Failure,Medium,Closed,System Outage reported by user.,employee02
2022-03-07,Hardware Failure,Low,Open,System Outage reported by user.,system
2022-09-22,Hardware Failure,High,Open,Network Issue reported by user.,system
2024-02-24,Security Alert,Low,In Progress,VPN Access reported by user.,security_team
2024-03-05,Software Install,Low,Closed,System Outage reported by user.,system
2022-09-18,Email Problem,Critical,Closed,Password Reset reported by user.,system
2023-08-19,System Outage,Medium,Resolved,Network Issue reported by user.,security_team
2022-10-17,System Outage,Critical,Resolved,Password Reset reported by user.,employee01
2022-06-15,Password Reset,High,Open,Password Reset reported by user.,system
2024-03-27,Software Install,Low,Closed,Password Reset reported by user.,it_support
2023-12-25,Email Problem,Medium,Closed,VPN Access reported by user.,employee01
2023-10-20,System Outage,Critical,Resolved,Hardware Failure reported by user.,it_support
2022-07-17,Hardware Failure,Medium,Open,Network Issue reported by user.,security_team
2022-05-14,Hardware Failure,Low,Resolved,Security Alert reported by user.,it_support
2022-07-10,VPN Access,Medium,Resolved,Hardware Failure reported by user.,system
2023-03-07,Software Install,Medium,Closed,Software Install reported by user.,security_team
2023-08-14,VPN Access,Medium,Resolved,Software Install reported by user.,system
2022-07-01,Password Reset,Critical,Resolved,Hardware Failure reported by user.,admin
2022-07-21,Email Problem,Low,Closed,Hardware Failure reported by user.,employee02
2023-11-10,Email Problem,High,Closed,Email Problem reported by user.,it_support
2022-10-31,VPN Access,Medium,In Progress,VPN Access reported by user.,it_support
2023-07-07,VPN Access,Critical,Closed,Password Reset reported by user.,admin
2023-09-10,Security Alert,Low,In Progress,Email Problem reported by user.,it_support
2023-04-05,Email Problem,Low,Closed,Email Problem reported by user.,employee02
2023-04-09,Network Issue,Critical,Closed,Network Issue reported by user.,employee01
2022-03-20,Software Install,High,Resolved,Hardware Failure reported by user.,security_team
2022-11-23,Security Alert,High,Closed,Password Reset reported by user.,system
2023-04-26,Password Reset,Low,In Progress,Software Install reported by user.,security_team
2023-06-18,Network Issue,Medium,Open,VPN Access reported by user.,admin
2022-12-26,Hardware Failure,Medium,In Progress,System Outage reported by user.,security_team
2022-03-29,Network Issue,Low,Open,Network Issue reported by user.,security_team
2022-11-17,Software Install,Medium,In Progress,Password Reset reported by user.,employee01
2024-02-13,Hardware Failure,Low,In Progress,Security Alert reported by user.,system
2022-11-24,Hardware Failure,High,Resolved,Password Reset reported by user.,system
2023-03-13,Password Reset,Low,Open,Password Reset reported by user.,system
2023-09-19,Network Issue,Critical,Open,System Outage reported by user.,system
2023-07-18,Network Issue,High,In Progress,Password Reset reported by user.,admin
2023-07-30,Software Install,High,Open,VPN Access reported by user.,employee02
2022-11-20,Network Issue,Medium,Resolved,Network Issue reported by user.,admin
2024-04-17,Security Alert,Low,Closed,Hardware Failure reported by user.,security_team
2023-07-23,Hardware Failure,High,In Progress,VPN Access reported by user.,system
2024-04-08,Security Alert,Critical,Resolved,Network Issue reported by user.,employee02
2023-10-15,Password Reset,Critical,Resolved,VPN Access reported by user.,it_support
2023-05-18,Software Install,Low,In Progress,Password Reset reported by user.,employee01
2023-09-28,Network Issue,Critical,In Progress,VPN Access reported by user.,admin
2023-06-19,Hardware Failure,Critical,In Progress,Password Reset reported by user.,system
2022-06-13,Security Alert,Critical,Resolved,Hardware Failure reported by user.,employee02
2022-06-28,Network Issue,Low,Resolved,Email Problem reported by user.,employee02
2022-08-08,Network Issue,Low,Closed,VPN Access reported by user.,employee01
2023-11-13,Security Alert,Medium,Resolved,Hardware Failure reported by user.,it_support
2023-10-28,System Outage,Low,Closed,VPN Access reported by user.,security_team
2022-07-10,System Outage,Medium,Closed,Hardware Failure reported by user.,security_team
2022-11-10,Hardware Failure,Low,In Progress,Hardware Failure reported by user.,it_support
2022-11-21,VPN Access,High,Closed,Network Issue reported by user.,system
2023-09-15,System Outage,High,Open,Security Alert reported by user.,it_support
2024-01-18,Software Install,Low,Closed,Email Problem reported by user.,system
2022-05-12,Hardware Failure,High,Open,Password Reset reported by user.,admin
2024-06-09,System Outage,Critical,In Progress,Hardware Failure reported by user.,security_team
2023-04-30,System Outage,High,Closed,Password Reset reported by user.,employee01
2022-03-08,Hardware Failure,Low,In Progress,Hardware Failure reported by user.,system
2023-03-04,Security Alert,Low,Closed,Password Reset reported by user.,admin
2022-05-03,Password Reset,Critical,Resolved,System Outage reported by user.,security_team
2022-09-05,VPN Access,Low,Open,Password Reset reported by user.,system
2023-04-09,Software Install,High,Open,Network Issue reported by user.,system
2022-06-07,Network Issue,Low,Resolved,VPN Access reported by user.,it_support
2023-07-02,Password Reset,Medium,Closed,Software Install reported by user.,employee02
2022-01-10,VPN Access,Critical,In Progress,VPN Access reported by user.,employee02
2024-06-18,Security Alert,Critical,Open,Software Install reported by user.,security_team
2024-06-05,Software Install,High,Closed,Security Alert reported by user.,employee01
2023-03-20,Network Issue,Critical,Closed,Password Reset reported by user.,it_support
2022-01-28,Password Reset,Low,Resolved,Security Alert reported by user.,admin
2023-10-29,Network Issue,Medium,Closed,VPN Access reported by user.,it_support
2022-05-01,Password Reset,Critical,Closed,Security Alert reported by user.,employee01
2022-08-25,Password Reset,Medium,Resolved,Email Problem reported by user.,it_support
2023-04-11,VPN Access,Critical,Resolved,VPN Access reported by user.,it_support
2023-11-23,Password Reset,Medium,Closed,Hardware Failure reported by user.,employee02
2023-03-03,Software Install,Low,Open,Network Issue reported by user.,employee02
2022-09-13,VPN Access,Medium,Closed,VPN Access reported by user.,it_support
2024-01-09,Password Reset,Low,Resolved,Password Reset reported by user.,admin
2023-11-28,Network Issue,Critical,Closed,System Outage reported by user.,security_team
2024-03-20,Hardware Failure,Low,Open,Email Problem reported by user.,employee01
2023-03-26,Security Alert,High,Open,Password Reset reported by user.,admin
2023-03-17,Hardware Failure,Medium,Closed,Software Install reported by user.,system
2023-10-20,Network Issue,Medium,In Progress,Password Reset reported by user.,employee01
2023-04-08,Network Issue,High,In Progress,System Outage reported by user.,employee02
2024-04-22,Hardware Failure,High,Closed,Email Problem reported by user.,employee02
2022-05-10,System Outage,Critical,Resolved,Password Reset reported by user.,it_support
2024-06-14,Password Reset,High,Open,System Outage reported by user.,employee01
2022-11-16,Software Install,Medium,Open,Network Issue reported by user.,employee02
2023-02-09,Password Reset,Medium,In Progress,Software Install reported by user.,admin
2024-06-01,VPN Access,Low,In Progress,Password Reset reported by user.,admin
2023-12-08,Password Reset,High,Open,Network Issue reported by user.,security_team
2023-12-18,Hardware Failure,Low,Resolved,Network Issue reported by user.,security_team
2022-05-07,Network Issue,Low,Open,VPN Access reported by user.,employee02
2023-08-30,Email Problem,Low,Closed,Password Reset reported by user.,admin
2023-06-08,Password Reset,Low,In Progress,Password Reset reported by user.,employee02
2024-04-18,Security Alert,Medium,Open,System Outage reported by user.,system
2023-03-16,Email Problem,Low,Closed,Hardware Failure reported by user.,employee01
2023-10-20,Hardware Failure,Medium,Resolved,Email Problem reported by user.,employee01
